# BEAST v1.7.5
# Generated Sun Apr 07 23:31:23 BST 2013 [seed=1365373880976]
state	posterior	prior	likelihood	treeModel.rootHeight	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	pandemic.fasta.clock.rate	location.clock.rate	location.rates1	location.rates2	location.rates3	location.rates4	location.rates5	location.rates6	location.rates7	location.rates8	location.rates9	location.rates10	location.rates11	location.rates12	location.rates13	location.rates14	location.rates15	location.rates16	location.rates17	location.rates18	location.rates19	location.rates20	location.rates21	location.rates22	location.rates23	location.rates24	location.rates25	location.rates26	location.rates27	location.rates28	location.rates29	location.rates30	location.rates31	location.rates32	location.rates33	location.rates34	location.rates35	location.rates36	location.rates37	location.rates38	location.rates39	location.rates40	location.rates41	location.rates42	location.rates43	location.rates44	location.rates45	location.rates46	location.rates47	location.rates48	location.rates49	location.rates50	location.rates51	location.rates52	location.rates53	location.rates54	location.rates55	location.indicators1	location.indicators2	location.indicators3	location.indicators4	location.indicators5	location.indicators6	location.indicators7	location.indicators8	location.indicators9	location.indicators10	location.indicators11	location.indicators12	location.indicators13	location.indicators14	location.indicators15	location.indicators16	location.indicators17	location.indicators18	location.indicators19	location.indicators20	location.indicators21	location.indicators22	location.indicators23	location.indicators24	location.indicators25	location.indicators26	location.indicators27	location.indicators28	location.indicators29	location.indicators30	location.indicators31	location.indicators32	location.indicators33	location.indicators34	location.indicators35	location.indicators36	location.indicators37	location.indicators38	location.indicators39	location.indicators40	location.indicators41	location.indicators42	location.indicators43	location.indicators44	location.indicators45	location.indicators46	location.indicators47	location.indicators48	location.indicators49	location.indicators50	location.indicators51	location.indicators52	location.indicators53	location.indicators54	location.indicators55	location.nonZeroRates	treeLikelihood	location.treeLikelihood	coalescent
0	-18481.627959250312	-1693.0235618184354	-16788.604397431878	13.08969932797704	5.2	0.0052	0.5	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.0050	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	55.0	-14862.663578139725	-1925.9408192921542	-1486.2183331831927
25000	-14385.597274940625	-2100.6527156892803	-12284.944559251344	1.6603473200140595	76.35780468336192	3.607471933483266	0.23871730966643687	5.743741503435314	0.27652837129531255	0.2132015571947604	0.21072484881585657	0.2995452226940705	0.0043927440320917594	15.83997387419148	1.441524850976792	0.7356663454335701	1.4874305111052004	0.7887872280310128	1.176055350583982	1.5656860374232098	1.516119377268012	2.0273513368328007	0.5878129554463549	1.0783137127848583	0.9530989770250362	1.0480717830791593	0.9977356986422377	0.38130400143990856	1.2379730901567987	1.4502585770680567	0.9278625455929017	1.2262805103253818	1.1115963952025116	1.3135619122355162	1.03015885619879	1.0195784657327516	1.153795657883321	1.3444834089382751	1.2288852793063325	1.0	1.0749146650086934	0.972940237253095	1.4029532288167326	1.4150508169426779	0.7204704412658199	1.5168525430717628	1.2093293228084043	1.2734907474084651	1.171862235791233	1.4071114490602423	1.0985847190532494	0.7784853644677704	1.7304208644486923	1.5034271897492315	1.3544924828059102	0.8197961789052928	1.1012516309911193	0.8407744057572625	1.503860460371461	0.8988564841909098	0.6641985567554375	0.7059143861437989	0.7372998572278316	1.069351173122076	1.0708474227548712	0.8831373993145174	0.7092650022410998	0.6944085064460511	1.2177077128006077	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0	-11086.69186109853	-1198.2526981528144	-2008.7543749967822
50000	-13501.865642517188	-2073.513480619807	-11428.352161897381	1.502002545740104	283.190137269556	5.416603591175028	0.1098141036555374	6.933951904799952	0.33943488954602546	0.18404608465053357	0.18034265024032295	0.2961763755631181	0.004169934332733061	11.458240712099865	1.1292260467903668	0.6241618880648192	1.3400891759785774	0.5020676431146381	1.5037199700071011	1.7837188572455165	1.1197597024783144	2.926509936746735	0.7054275659755583	0.8688287731904859	1.52198526086378	1.030516252715182	0.7606197386687615	0.3690312115319006	0.9715219849839332	1.4031056484022122	0.9381306062282099	0.8635062310012404	1.2427943950602174	1.2690043019879163	1.259477871105781	0.9236027264122469	1.3886720570585045	2.099746540703743	1.6687708308123992	0.5256291125092689	1.141415031246927	0.7965261244832417	1.6355090631597544	1.5177166828894821	0.9225310290907983	1.0637715918441233	0.9448901767014128	2.049998483654122	1.398849325266791	1.2041073155756052	1.6541063903988305	0.8136157540372326	2.6171911889011565	1.3044216373069715	2.0449776848545484	0.7676287504084677	0.7395651625553119	1.6150493963654229	0.7098237414218295	0.7511406844188474	0.8790392235035639	0.557978043012747	0.6454613338228777	0.8136200752307304	0.7591495536228886	0.702668221621392	0.8646629065890005	0.5859752043866701	0.798436505143985	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	-10267.390036201587	-1160.962125695794	-1977.642718483663
75000	-12984.014865702346	-2089.814741367418	-10894.200124334928	1.4096481860163275	387.4957689729792	6.017236049341258	0.09828071126566114	7.3909011888184315	0.3583764903236648	0.16191433239588937	0.21079338449999563	0.2689157927804502	0.0038842126795999355	7.019019239349677	0.6070852310164448	0.3060922025049759	1.7073955463852866	0.25748552284876514	1.3772555950186594	1.5629013205702085	1.0208699459582589	2.440197262110875	0.924728923248017	0.7402745640271501	1.9668726979985687	1.1703210963346602	0.8086349627265668	0.4137025633823035	0.9598273831227963	1.2585034687146401	0.8029690019074694	0.8077239916125573	2.29208759873505	1.044004175605726	1.6270113126702137	1.6931366565000991	1.4544046839646747	1.8370296632049803	1.9652432987393442	0.45144130991918247	1.0119332022514778	1.1000369065565316	3.1340343470303638	1.7956677220654598	0.605486851054758	1.0994933213916311	1.722897849108502	1.1158098924482627	1.2877179065974007	0.8431835123669618	1.846926459488725	0.8246980290087886	1.7251002789417753	1.2513485774753383	1.6960625997025565	0.9422184262964821	0.7395651625553119	1.2131600299873913	0.958578128664404	0.8612015853515117	0.9448467995662131	0.8137504938050882	0.5676510273568429	0.6684538980850376	0.809916610423914	1.1354934374375245	0.5238301434986568	0.7566830344641634	0.8233779029407645	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	-9789.059314509053	-1105.140809825874	-1986.7568397627363
100000	-12576.878309177646	-2039.826636876991	-10537.051672300655	1.1639878845784934	512.7745843205456	8.190250855334531	0.11423805221505126	7.980595550800766	0.3629314586020239	0.1792266527993148	0.2108751322984763	0.246966756300185	0.0036873989041407867	7.791765503498271	1.0130533561580335	0.2802572703022676	0.9569047693031302	0.29688166409908606	1.4045164097766496	1.188266117923088	0.7802703354378147	1.701515880154182	0.41583301746299356	1.1289371954436382	1.5832892872539719	1.3522453263674477	0.6143088354799294	0.36306203180325836	0.8288733159021503	1.3729287318309296	0.6553438983615548	0.9943549689849217	1.8546936216317134	0.9881263168210945	1.7478933410269215	1.9603459672856687	2.7837171171640778	1.057676155947637	1.9408063627432397	0.6301499445126114	1.4884382936908922	1.2033348419205008	4.361911350742021	1.2409786186689262	0.5519074796733626	1.2119644241603122	2.714408302545275	0.5633724990535691	0.9555492271284696	0.6088675449575709	1.846926459488725	1.4551567762818327	1.9840293298095015	2.450069724408342	1.112439082453736	1.2768722871707694	0.7679411681015684	1.1689315486421645	0.5826422254778736	0.9409941588119115	0.821441146074652	0.8677357516255408	0.6570275644167326	1.2121784070463366	0.7297775720896601	1.0003331205366177	0.5762880543737551	0.6402778775073389	0.8233779029407645	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	16.0	-9462.211130318601	-1074.8405419820547	-1939.8812871532268
125000	-12265.83087316592	-2007.3470108650856	-10258.483862300835	0.9949375462430035	940.0815626574795	10.645763090541383	0.12331862899955238	6.987553030615308	0.36744090943028934	0.1831175126532342	0.20862435527097412	0.2408172226455024	0.0036807119565170293	5.526445923164513	1.1839478680574962	0.2557755419740308	0.7497197520315457	0.22321420373637635	1.5418645890272455	1.1994697188163068	0.7946867392360716	2.090248467492963	0.42422290871069807	0.9725944225953599	2.440190300726283	1.8395493864906838	0.5845588689936152	0.39731424373626434	0.9227271210653161	1.5147553032742405	0.9676311750327939	0.7877966008505058	2.5160261353701214	0.7826024729285928	2.4629441882902947	2.38325488477584	2.621418452671586	1.141191068228881	1.5038759123308976	0.7393557796488679	1.8307873722450134	1.366833035431608	4.865282557169975	1.1067047617320114	0.6939740199959817	1.009837002273998	3.3701191225603537	0.7295978125226211	0.6660979865622912	0.49046630970034477	1.8997703411075253	1.1207780066902104	2.4183438227332164	1.481382769972642	0.8876240504631476	1.0476106309289843	0.7908453422720156	1.0059737521372139	0.8544520659587812	0.9015921158472461	0.4940176881000185	1.5578259119198608	0.6919604731436457	0.8667583277378644	0.5375843895674958	1.2393872984826948	0.3399766702366695	0.44231119791480633	0.8978240040878273	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	-9201.212864395535	-1057.2709979053002	-1899.7356150946569
150000	-12066.720066282236	-1970.654848576011	-10096.065217706226	0.9692995408346519	477.70016768688106	10.98899520458	0.1630625637698574	7.694499846384104	0.3627817049453122	0.1810012580765896	0.20067654756235204	0.25554048941574614	0.003863409586305713	5.856842735225156	1.807432858208022	0.28209085491756375	0.6752884346668132	0.29813553413754246	0.9377516866052326	1.199688955242666	0.549629595650234	1.7042943436376086	0.5820714344018968	1.1841033742551157	1.4520923133567576	3.2319333635231833	0.5343402756834708	0.6127259883690691	1.4063192888334795	1.667482708148429	0.9585384738943518	1.2877750608607246	2.9475203395197327	0.581377325134676	2.1810235616407434	2.019991576921465	2.666449392212432	1.3450188009856565	1.0804581532065844	0.7393906379847304	1.723061568955847	1.4225331120111424	4.248946562253709	1.0581911732020048	0.4132845601386691	0.7396030967184656	3.817331529393238	0.7195046771556374	0.6355736057174155	0.4617124921407639	2.121447597200438	1.6717611088330355	2.8009931827352266	1.7724998323909136	1.4484272848035422	0.7613626225736416	0.6382541828046221	1.4478243027096638	0.9901630762749254	0.73959696474405	0.7684054013417848	1.5298637178336665	1.0772535498684765	1.2955575610369596	0.6126878136782262	0.8124278246888209	0.44334716869752144	0.5346656886022404	0.780646554013405	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	-9053.343097087663	-1042.722120618563	-1867.117533072602
175000	-12016.967509331953	-1974.0424622993114	-10042.92504703264	0.9051048098301772	601.9866624235855	12.697863655942102	0.18886209833474796	6.859776553841458	0.3543332552222793	0.17933853876042716	0.2104468627555669	0.25588134326172657	0.003734696888421374	6.8361868019349865	2.196840962966742	0.11153312984737836	0.3532980919145722	0.23295098969385059	0.7910119830412892	0.9990960180730915	0.49693757633958446	1.1177068202898943	0.8147972630375429	0.76907243324654	1.5414958428699983	2.5535021278819414	0.45209303512455346	0.7071080261869868	1.410903586860855	3.5637721275555267	0.9068350620854831	1.3169183234301975	3.2637242744235446	0.324112795934728	2.0409640882690803	3.473299806557398	1.9350331350200007	1.643769504547022	0.463417223632123	1.3174435300594194	1.6027180632927513	1.2843407562587492	2.9427729271735896	0.8439033083356811	0.19882075109561775	0.8301533828692277	4.7685210587213795	0.445222832564095	0.31070778344274486	0.36916027968835496	1.3605125308645294	1.031172441730209	2.411807355485511	1.3944469216445352	1.4004578682796487	1.2530948835557438	0.40501302689547747	1.0277725114388703	0.6994977171129083	0.7389392572723372	0.858170727054792	1.3706248170491502	0.5473118951149872	1.2002155911104304	0.4823610656750882	1.0552160053635087	0.40816752300018355	0.668087217854794	0.7557288764491793	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	-9006.051562655875	-1036.8734843767645	-1872.1525286317376
200000	-11784.912935141881	-1944.4598224054694	-9840.453112736412	0.9115358562575303	966.5699427298899	13.198563578777513	0.16340704764748323	7.6096374809377805	0.35856033394083525	0.18883367752424288	0.2004822319363328	0.25212375659858904	0.003648028062937697	6.227774921622795	2.856407422846932	0.09041441321031672	0.3645613865039429	0.21589363417361793	0.8858538457622717	1.441823304284042	0.7559152181457763	1.9728848425117642	0.7592529587384753	0.7669712396181462	1.4144992601913609	2.5156397151420733	0.6623733875969879	0.548183343796688	0.8491445632224138	2.783926267054792	0.9708618230335566	0.7004125958528344	2.2474445372421994	0.33635617566649795	1.9675905835980017	2.923096003578289	2.757050259133695	2.985916482887688	0.4671141096880514	0.6232394494363328	1.112456594051767	0.5614635768938739	3.536942085937684	0.8247866443802427	0.1864992958319435	0.6122999311103727	4.473267458608304	0.4998637974517847	0.2901814780128554	0.3022540029098608	1.821210511678503	1.062242347560313	2.4386826360712326	0.9817141622177775	1.1199865722139184	0.8117329067903944	0.3721534384160816	0.9699626556486528	0.7513212254547469	0.625295182558963	1.0366093170715094	2.0723440638069657	0.9169786769168333	0.970190992685801	0.5460651837761301	1.0116798878563105	0.8779152318035304	0.5069365314452153	0.8448432042360019	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	-8820.035189456055	-1020.4179232803558	-1844.597024534327
225000	-11660.207306014943	-1959.1770100546767	-9701.030295960267	0.9748322062053874	258.6870227203216	13.251479675953139	0.26396391067801955	7.481444644603602	0.365265438751357	0.17211342408962876	0.20401160291663584	0.25860953424237837	0.0034468727567825877	4.903409527471155	3.4825445388826024	0.04204893387203301	0.33517425021725256	0.22030371983710564	1.144992888317458	1.045268282762495	0.6787166359072184	1.4844459788651894	0.8285037554692252	0.37474582742986123	1.514566214401901	1.8618618098056452	0.9335935051116283	0.7674825300341312	0.7146004375867705	2.4775613824528455	0.5211066845311828	1.064279138470264	1.7754200901385813	0.33580306823183165	1.461644839294946	2.9802615289244763	1.3749295741490364	3.6322985113178126	0.4268123133858137	0.8744953608105971	1.4124053647466652	0.7434325519165356	1.7342257245629316	1.2415672988077844	0.25734134116000823	0.5249142119912573	4.058825174822519	0.7689831288680229	0.21303908046255074	0.41719370614286755	2.8522116684543013	1.0817035546361122	2.1292539028591375	0.9332479737149392	1.1137747948182362	0.847214779581105	0.40778828266759937	1.148092991953775	0.7513212254547469	0.580547249506965	0.7063651638070305	1.459884003661937	0.6427308949457994	0.6005820412283588	0.609702864767959	0.628426565504175	1.1059256328685558	0.5915678338928013	0.7236414273898186	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	-8714.190314510739	-986.8399814495288	-1862.1720797130592
